--- scanner 0 ---
-646,428,-798
-941,625,498
-534,-747,-759
450,475,522
-862,-546,910
-615,663,-787
-810,562,534
-44,3,76
-874,-680,791
331,557,-570
325,424,-550
-927,498,581
683,458,502
-895,-467,828
584,442,608
292,474,-557
374,-827,899
426,-820,893
-634,-763,-638
-9,-163,-47
-463,-688,-668
796,-921,-498
742,-965,-401
-544,584,-794
694,-901,-524
327,-956,892

--- scanner 1 ---
-514,-683,-544
809,593,-386
690,620,737
-415,-807,-552
688,711,839
-552,733,589
124,-10,56
844,760,-292
526,-747,559
-269,633,-562
811,786,-463
641,-832,528
887,-472,-532
897,-310,-560
897,-264,-472
711,753,768
-247,682,-522
-336,-736,-590
-642,-614,433
-571,-693,440
634,-757,406
-723,658,559
-540,-458,429
-340,599,-467
-652,717,468

--- scanner 2 ---
373,633,-439
-830,-865,-395
-468,422,881
-187,-84,171
509,735,-386
771,466,574
593,469,519
701,-916,876
-639,675,-359
550,434,560
501,-891,-770
-754,-864,-607
-686,808,-377
-466,511,723
8,-121,3
-443,533,720
-666,743,-373
589,-834,-681
609,-798,-686
666,-930,731
-800,-884,-488
-943,-812,566
590,676,-462
670,-766,812
-910,-819,562
-973,-850,534

--- scanner 3 ---
-706,361,265
374,-856,-562
-377,-599,-653
-342,-569,-476
495,678,-418
452,363,677
-436,619,-646
552,622,-390
-512,653,-657
459,330,673
-574,-743,515
-440,-659,-526
-632,475,351
541,-670,356
-639,300,290
461,-896,-542
443,579,-497
6,57,25
507,-679,495
-505,-834,460
-517,615,-763
519,-565,435
-586,-694,411
421,300,705
-102,-103,-13
559,-864,-529

--- scanner 4 ---
684,-837,761
-319,-964,680
780,313,-704
-338,-950,-737
-372,-846,-662
851,-678,-472
779,227,-841
-444,-925,804
-806,495,752
-411,-958,-555
622,-789,936
686,231,-721
631,587,592
-831,534,-708
33,-58,71
-710,572,708
668,-878,876
-313,-890,774
-634,455,805
-873,413,-765
871,-608,-340
737,571,493
-101,-190,-19
867,-614,-264
717,554,726
-849,464,-685

--- scanner 5 ---
-724,-702,777
-495,659,-758
-461,-915,-634
462,-698,416
-488,461,631
-36,-98,-32
518,344,774
512,634,-519
-329,464,517
420,-777,407
541,491,763
436,600,-530
-559,-883,-647
-677,-577,742
-374,-875,-614
570,489,801
-552,603,-786
-703,-650,694
342,-588,-700
-377,480,469
440,-678,-650
-443,560,-679
100,32,113
435,-579,493
377,-618,-523
517,596,-413

--- scanner 6 ---
410,-416,851
23,32,-116
473,-569,856
549,435,-832
-469,-596,-715
-421,726,-495
452,-483,679
747,849,505
-787,-802,468
635,-689,-348
-579,456,686
613,-613,-459
-352,-465,-687
622,-593,-421
620,853,376
407,370,-769
-643,-774,376
-551,755,-382
-654,357,640
-594,389,819
146,-36,29
-556,-408,-708
690,822,500
446,517,-804
-423,729,-458
-644,-744,556

--- scanner 7 ---
-167,39,7
-409,597,915
-505,-802,813
488,507,-251
-952,517,-397
-620,-701,857
-449,-691,854
718,-947,462
-881,479,-318
661,-541,-659
-828,525,-496
794,-927,480
641,606,829
-617,537,905
712,-622,-776
736,-919,545
448,683,827
-455,509,915
454,602,-322
715,-625,-754
615,777,862
-58,-73,175
-732,-448,-335
537,547,-229
-751,-452,-446
-628,-474,-375

--- scanner 8 ---
921,-847,-699
-398,834,380
-430,804,418
725,479,-575
618,408,-681
822,-748,432
817,-728,396
624,661,346
-260,-570,-903
